1 17469.9
1 17469.9
2 31107
2 34881.2
3 42534.3
3 52379.1
4 51023.7
4 69828.2
5 58091.9
5 87255
6 64933.3
6 104671
7 71514.2
7 122067
8 78265.6
8 139460
9 87306.6
9 156846
10 93689.2
10 174257
11 101886
11 191641
12 107984
12 209088
13 113567
13 226369
14 118968
14 243676
15 124180
15 261043
16 129289
16 278359
17 133842
17 295678
18 138268
18 312796
19 142572
19 330146
20 146587
20 347547
21 150566
21 364958
22 154394
22 382334
23 158029
23 399518
24 161635
24 416843
25 165181
25 434079
26 168552
26 451404
27 175542
27 468752
28 180538
28 486094
29 184710
29 503467
30 188625
30 520675
31 192331
31 538053
32 195995
32 555456
33 199628
33 572908
34 203157
34 590295
35 206780
35 607716
36 210344
36 624982
37 213834
37 642342
38 216963
38 659803
39 220144
39 677198
40 223097
40 694678
41 226102
41 712155
42 228852
42 729617
43 231594
43 747087
44 234214
44 764546
45 241988
45 782112
46 246873
46 799546
47 250766
47 817054
48 254055
48 834396
49 257114
49 851781
50 259817
50 869154
51 262522
51 886589
52 265165
52 903960
53 267889
53 921425
54 270590
54 938888
55 273169
55 956346
56 275674
56 973754
57 278574
57 991192
58 281310
58 1.00861e+06
59 283819
59 1.026e+06
60 285846
60 1.04349e+06
61 287814
61 1.06105e+06
62 289809
62 1.07852e+06
63 291717
63 1.09604e+06

