12517 46940 43144 86256 0.103271 0.0910645 4096
22448 84180 43144 86256 0.409546 0.183105 8192
30688 115080 43144 129368 0.936605 0.30306 12288
39077 146540 43144 172480 1.69305 0.449768 16384
46368 173880 86256 215592 2.31318 0.568213 20480
53797 201740 86256 215592 2.78601 0.699992 24576
60325 226220 86256 258704 3.32778 0.813616 28672
67024 251340 86256 258704 4.03107 0.934479 32768
72917 273440 86256 301816 4.80756 1.065 36864
78688 295080 86256 301816 5.64016 1.2178 40960
84042 315160 86256 344928 6.52333 1.29723 45056
89482 335560 129368 344928 7.30048 1.42963 49152
94720 355200 129368 388040 8.04845 1.53057 53248
100080 375300 129368 388040 8.93853 1.63708 57344
104832 393120 129368 431152 9.71921 1.73154 61440
109888 412080 129368 431152 10.7333 1.87506 65536
114608 429780 129368 431152 11.7099 2.02703 69632
119328 447480 129368 474264 12.7577 2.14657 73728
124197 465740 129368 474264 13.9328 2.29686 77824
128970 483640 129368 517376 15.0503 2.44751 81920
133168 499380 172480 517376 15.7471 2.59468 86016
137562 515860 172480 517376 16.5073 2.72726 90112
141968 532380 172480 560488 17.3249 2.84869 94208
146357 548840 172480 560488 18.1768 2.9632 98304
150778 565420 172480 603600 19.1464 3.1126 102400
154805 580520 172480 603600 19.964 3.27307 106496
159072 596520 172480 603600 20.88 3.43912 110592
163349 612560 172480 646712 21.8183 3.61708 114688
167349 627560 172480 646712 22.7733 3.78335 118784
171354 642580 172480 646712 23.8635 3.94901 122880
175258 657220 215592 689824 24.7499 4.10964 126976
179109 671660 215592 689824 25.5246 4.28011 131072
182768 685380 215592 689824 26.3701 4.47927 135168
186736 700260 215592 732936 27.2559 4.63311 139264
190480 714300 215592 732936 28.1361 4.75988 143360
194293 728600 215592 732936 29.1477 4.89207 147456
197909 742160 215592 776048 29.9416 5.00246 151552
202090 757840 215592 776048 30.9061 5.13954 155648
205733 771500 215592 776048 31.9774 5.29112 159744
209157 784340 215592 819160 32.948 5.4352 163840
212586 797200 215592 819160 33.8546 5.54501 167936
216218 810820 258704 819160 34.8653 5.67954 172032
219482 823060 258704 862272 35.6654 5.791 176128
222976 836160 258704 862272 36.5794 5.89322 180224
226480 849300 258704 862272 37.5649 6.00549 184320
229754 861580 258704 862272 38.4667 6.11752 188416
233109 874160 258704 905384 39.5227 6.22536 192512
236266 886000 258704 905384 40.3926 6.34407 196608
239322 897460 258704 905384 41.2993 6.46732 200704
242613 909800 258704 948496 42.173 6.55663 204800
