64 128
1 53936 29401 188 45974 15839 376 14756 15212 877 E 7991
2 59812 32731 174 44470 16079 348 14765 23231 1130 E 4733
3 58944 35134 187 33730 14154 374 16783 26272 1465 E 4489
4 59317 35498 197 48571 13909 394 17557 32341 1679 E 4745
5 59547 36304 235 29633 12074 470 17960 32179 1977 E 4179
6 62348 37434 191 33275 12769 382 18880 35413 2104 E 4218
7 59850 37676 364 33014 12480 728 20656 43570 2728 E 4216
8 54668 37917 354 61542 12818 708 28693 52880 2788 E 6323
9 78823 39402 347 31442 16390 694 29527 59493 3016 E 5847
10 87914 40750 228 32541 11931 456 21851 55784 2785 E 5415
11 56753 39621 445 27377 13097 890 22492 58517 3536 E 4474
12 60853 40126 303 30760 12521 606 23677 60601 3166 E 4311
13 61699 40928 281 29713 12354 562 23881 63082 3140 E 12098
14 56066 40013 568 25976 12283 1136 23763 58022 4094 E 4284
15 63251 40986 370 32770 13965 740 26093 71103 3773 E 4236
16 68159 39510 1722 35574 20353 3444 26098 63737 7973 E 5030
17 73238 41955 275 31229 13371 550 26566 66581 3621 E 6050
18 61076 42132 421 31265 13200 842 26912 70206 4244 E 4313
19 62866 42000 336 111640 13338 672 26960 69690 3910 E 4790
20 58952 41780 425 25444 11919 850 28855 74920 4499 E 5359
21 60766 42023 418 31365 12470 836 29239 72883 4343 E 4417
22 62029 42633 323 27813 13004 646 29557 81129 4219 E 5745
23 63765 42987 293 30286 12337 586 30382 81963 4237 E 5682
24 61025 42963 382 29036 13174 764 31375 86782 4427 E 4441
25 58292 42333 465 28067 16899 930 42327 107892 4779 E 9003
26 88646 43727 597 27209 12803 1194 30386 86300 5058 E 4930
27 59451 42078 922 25425 12472 1844 31528 87392 6027 E 5726
28 60357 43785 479 27779 12359 958 33615 101900 5315 E 4425
29 63291 43033 619 29012 12808 1238 34391 103716 5798 E 4427
30 64780 43477 438 30888 12936 876 33734 97707 5420 E 4505
31 71397 43530 649 29235 13482 1298 42743 112998 6337 E 4922
32 64724 43738 708 31784 14482 1416 37578 116275 6583 E 5343
33 60582 43089 1181 27678 14108 2362 36659 106435 8068 E 4762
34 61771 43438 978 27636 13905 1956 37520 106305 7198 E 6164
35 68711 45316 308 29610 11825 616 35600 102444 4985 E 4505
36 70743 44781 340 30808 12550 680 37291 110585 5482 E 4612
37 72190 44232 484 29443 12759 968 38927 118198 5748 E 4491
38 65450 44512 414 31218 12639 828 36143 109259 5484 E 4632
39 68443 45222 329 33420 14066 658 38833 111398 5330 E 5928
40 61523 43787 517 30477 12841 1034 38457 104065 5854 E 4656
41 67753 44668 378 34020 14398 756 39834 113989 5695 E 6020
42 66944 45278 364 34260 13963 728 41564 126514 5941 E 4647
43 63600 43860 719 30542 13320 1438 37678 124618 6481 E 8446
44 65400 44294 625 25551 13207 1250 41256 119715 6635 E 6055
45 66028 46147 492 34284 12898 984 40655 128336 6280 E 4674
46 70029 46385 405 220564 13261 810 44771 140424 6420 E 4935
47 65508 46160 360 25287 12272 720 42717 130243 6166 E 4667
48 60825 45123 450 24772 12670 900 46844 134789 6435 E 4670
49 61154 45236 622 26572 12998 1244 42217 131630 6898 E 4791
50 70768 45456 353 28363 12899 706 44878 146357 6387 E 4777
51 65932 45211 542 30765 13283 1084 44356 136735 6609 E 4708
52 72145 46440 439 31268 12642 878 45859 146667 6664 E 6155
53 60204 45577 595 29047 12651 1190 44460 140025 7077 E 6360
54 62786 45613 703 32355 12914 1406 48100 158342 7663 E 4955
55 65820 45817 514 26287 12220 1028 48087 150283 7163 E 4614
56 63475 45811 665 27639 13864 1330 47236 143720 7400 E 4704
57 66919 46290 463 28284 12315 926 49322 157318 7014 E 6632
58 65013 46684 547 29173 12201 1094 46672 150521 7175 E 4674
59 70406 54591 849 29935 13432 1698 58838 143479 7861 E 6045
60 66247 46173 568 26121 12089 1136 48489 151016 7222 E 6143
61 59041 45878 677 24391 13012 1354 51281 155390 7739 E 4763
62 67160 45636 757 33960 13724 1514 52794 162704 8392 E 4995
63 67924 46279 752 30039 12826 1504 53245 156665 8350 E 5008
64 75604 45722 770 29571 13817 1540 54852 169388 8238 S 38098
63 70663 46990 392 42905 12850 784 64559 174885 7878 S 37894
62 65770 46301 707 33689 13250 1414 51332 155545 8139 S 36168
61 69009 46801 588 37377 14048 1176 57913 174026 7972 S 34977
60 68525 46763 571 31406 12782 1142 51370 153910 7852 S 34151
59 67764 47068 568 32230 12816 1136 50591 155066 7774 S 32525
58 70381 46577 529 30392 12665 1058 51086 161546 8185 S 31930
57 67209 46341 652 31850 13722 1304 45606 135479 7905 S 30874
56 63481 46716 1061 28202 14172 2122 47443 166570 9666 S 28863
55 65612 44923 504 29971 13241 1008 46789 144735 7869 S 28122
54 66162 46299 481 30002 12625 962 48085 153856 8416 S 43182
53 178114 80930 612 52436 21798 1224 85682 281355 8551 S 45864
52 117468 78730 541 53137 24911 1082 81150 294290 8394 S 52894
51 110307 76195 1051 46566 21282 2102 80964 236291 9925 S 40974
50 110164 78229 1015 48983 21720 2030 103974 244510 9662 S 41228
49 108264 78282 971 47319 23993 1942 79813 243232 9929 S 38412
48 96767 76658 1867 45783 23652 3734 78269 253781 12751 S 47504
47 110576 79044 1549 51618 24350 3098 76933 230897 11584 S 34791
46 98557 75235 1858 38084 21162 3716 71597 217998 12570 S 33793
45 103995 78218 642 46179 24740 1284 75465 227927 9192 S 31625
44 112868 79361 639 50468 22330 1278 72513 225388 9071 S 30554
43 113106 79741 576 44650 22218 1152 73291 227379 9365 S 29242
42 104802 77999 1163 48002 22168 2326 74157 233893 11752 S 27737
41 93392 77363 1840 37276 22044 3680 72170 222521 13770 S 19081
40 76258 55139 1023 34543 16244 2046 50950 157595 11174 S 18090
39 71262 55403 1472 31045 16447 2944 50153 153390 12383 S 17591
38 70694 55264 1795 29654 14671 3590 49379 153946 13382 S 16938
37 74884 56252 1319 34992 16973 2638 50108 161989 12994 S 15928
36 74772 55795 1469 31473 15949 2938 48996 160770 13521 S 14948
35 81740 55998 584 37553 16310 1168 45835 142826 10447 S 14423
34 73987 55308 723 31935 15187 1446 45250 143165 11405 S 13469
33 75069 54711 2096 32791 14421 4192 45325 134253 15529 S 12916
32 76467 55618 635 33796 16501 1270 42393 134806 11886 S 11987
31 82199 57581 482 36816 15581 964 62964 141743 12955 S 11704
30 81843 57273 702 36240 15999 1404 43178 138329 13423 S 10618
29 78558 56473 873 35242 15903 1746 41381 130780 14172 S 9680
28 82718 57723 607 39358 15141 1214 41924 137631 14323 S 9272
27 75246 55097 860 34545 15033 1720 41553 141160 16785 S 8719
26 73675 55700 894 33322 15325 1788 37594 124870 15283 S 8060
25 68913 68941 691 32769 15913 1382 38493 126196 15543 S 8680
24 84273 56310 608 35870 17267 1216 37274 121854 14980 S 7673
23 75183 55662 699 32358 17154 1398 37977 115360 16101 S 7065
22 80656 57169 615 34967 16509 1230 36414 117860 16337 S 6513
21 70329 55706 889 35944 19199 1778 35321 109533 17307 S 6345
20 76743 75640 891 39609 18363 1782 35013 110680 17609 S 5927
19 82460 55805 624 37568 16031 1248 36127 117518 18699 S 5142
18 75706 57161 691 466541 15403 1382 34384 102893 18118 S 4815
17 71574 54998 829 27005 14519 1658 34292 104282 21754 S 4166
16 75919 56847 644 29571 14952 1288 33064 97494 20924 S 3832
15 69144 54815 1379 25765 14737 2758 33435 99340 26658 S 3514
14 77396 57273 569 29390 14611 1138 31470 89473 22793 S 3047
13 70242 54907 1140 26255 14269 2280 29320 77098 23514 S 3160
12 76028 56654 923 31599 15354 1846 28757 84274 27597 S 2647
11 73658 55395 1299 30366 15320 2598 26633 75710 27358 S 2424
10 67580 55019 1371 24144 14309 2742 26479 70943 27728 S 2114
9 73162 56338 842 27532 14121 1684 25299 133144 27648 S 4135
